supporter_class,pct_multi_gave,max_num_gives,pct_onetime,pct_repeat_onetime,pct_recurring,pct_mixed,pct_first_recurring,pct_started_before_this_date,pct_started_on_this_date,pct_ended_on_this_date,pct_ever_p2p,pct_ever_donation,pct_ever_events,pct_ever_crowdfunding,pct_ever_gd,pct_fundraising_afterwards
#GT,0.03486728714236470,37,0.65560151671837297,0.29643226473629782,0.02564632885211995,0.02231988969320923,0.01428817649086521,0.24644950017235436,0.75355049982764563,0.81564977593933126,0.54432954153740089,0.27204412271630472,0.11521889003791795,0.20492933471216821,0.03291968286797655,0.01711478800413650
Control,0.01714285714285714,41,0.59262672811059907,0.23797235023041474,0.11926267281105990,0.05013824884792626,0.02986175115207373,0.29124423963133640,0.70875576036866359,0.70119815668202764,0.37179723502304147,0.33474654377880184,0.28147465437788018,0.04221198156682027,0.06525345622119815,0.00350230414746543
EOY,0.01378402715245549,37,0.68508000277065872,0.26577543811041075,0.02611345847475237,0.02303110064417815,0.01170603310937175,0.26016485419408464,0.73983514580591535,0.88231627069335734,0.21718501073630255,0.62630740458544018,0.03892775507376878,0.13877536884394264,0.08114566738242017,0.00450232042668144
Harvey,0.02065220836018296,26,0.70896760085777970,0.13915679832669575,0.11176489230216663,0.04011070851335791,0.01232794227945448,0.25654162661229836,0.74345837338770163,0.96498103799795062,0.36964812017366869,0.29335643281958104,0.18164435946462715,0.18909183102162407,0.04438904323759018,0.04437847944814763
Total,0.15852523791982468,1445,0.83885152412744262,0.13053328762031149,0.02446441385641835,0.00615077439582753,0.02769544247664287,,,,0.41152666605999531,0.18947286416147218,0.33263610901145366,0.04900337441349040,0.04720619449502837,0.09826732648331983
