state,gtv,pct_gtv,total_gtv,gtv_normalized
TX,878937.7099999702,0.21671818016870095,4055671.3299999777,8.689271478998752
WV,4847.0599999999995,0.0011951313618897284,4055671.3299999777,3.3344982491865074
ME,9839.74,0.002426168000156969,4055671.3299999777,3.279804006533115
OK,15368.139999999996,0.0037892962100555816,4055671.3299999777,3.0686506486478917
KY,15145.189999999999,0.0037343238067568166,4055671.3299999777,2.949886641631737
AR,7574.3600000000015,0.001867597096434351,4055671.3299999777,2.9340130230828536
CO,99529.56000000007,0.02454083477223008,4055671.3299999777,2.750107692073893
TN,39466.279999999984,0.009731133710975589,4055671.3299999777,2.7357060270227547
NE,8427.390000000001,0.0020779272564969034,4055671.3299999777,2.669226919714688
NV,27477.669999999995,0.006775122480154265,4055671.3299999777,2.558782966447115
MD,118258.33999999998,0.02915875828626395,4055671.3299999777,2.4322331982073697
AL,13410.459999999995,0.003306594373366066,4055671.3299999777,2.3875623130608172
SC,40269.49999999998,0.009929182303833333,4055671.3299999777,2.364921211380891
IN,34679.439999999966,0.008550850692331658,4055671.3299999777,2.356955373442092
PA,109917.70999999999,0.027102223295791723,4055671.3299999777,2.3026919347959254
MT,4074.5499999999997,0.0010046548816370735,4055671.3299999777,2.263664040711563
AZ,59691.049999999974,0.014717920941586828,4055671.3299999777,2.2492899731815794
VA,123246.65000000008,0.030388717421044265,4055671.3299999777,2.1514206657558033
NC,72568.29999999994,0.017893042629763677,4055671.3299999777,2.140089651714882
UT,16389.87,0.004041222442943889,4055671.3299999777,2.131851994448556
SD,3115.49,7.681810843385125E-4,4055671.3299999777,2.103639432815665
ID,13793.13,0.0034009486661238093,4055671.3299999777,2.071152494729445
VT,7611.879999999999,0.0018768483391872982,4055671.3299999777,2.0485226560166208
HI,9405.43,0.002319080920198741,4055671.3299999777,1.9633995632914298
NJ,135227.58000000002,0.03334283500729354,4055671.3299999777,1.9592895720404973
NM,20640.2,0.005089219100996558,4055671.3299999777,1.887832379670145
DE,11313.05,0.0027894395476075378,4055671.3299999777,1.8807344025082997
KS,20080.85,0.004951301120349935,4055671.3299999777,1.850338123921334
WI,45337.04999999998,0.01117867951099485,4055671.3299999777,1.8094007157455638
OR,58304.34999999999,0.014376004674915389,4055671.3299999777,1.7067448568753854
WA,97807.33,0.02411618744263494,4055671.3299999777,1.686337927828767
AE,1973.8999999999999,4.867011745747185E-4,4055671.3299999777,1.6677509568508833
CA,721242.2700000046,0.1778354830345704,4055671.3299999777,1.662995593850276
NH,13562.2,0.003344008647761917,4055671.3299999777,1.601232607425161
MS,4560.589999999999,0.0011244969399431153,4055671.3299999777,1.5843854005266702
LA,30784.03,0.007590366056610452,4055671.3299999777,1.527636527667295
IA,16981.36,0.004187065128869822,4055671.3299999777,1.4594426888034993
MI,48491.019999999975,0.011956348543657812,4055671.3299999777,1.4513272376277624
MO,24097.559999999998,0.0059416944913038925,4055671.3299999777,1.3794359653652097
MA,142087.37,0.03503424179098871,4055671.3299999777,1.3645841926768238
MN,40746.49,0.010046792918991347,4055671.3299999777,1.345702644442661
OH,60587.23999999998,0.014938892989634916,4055671.3299999777,1.3157906852804113
FL,135188.7200000001,0.03333325336301372,4055671.3299999777,1.2841843585263142
IL,154243.99000000017,0.03803167896250632,4055671.3299999777,1.2192883679151756
GA,66359.75999999994,0.016362213453820555,4055671.3299999777,1.1057484966281705
RI,8350.05,0.0020588576638926126,4055671.3299999777,0.9961882605583392
CT,59460.05999999997,0.014660966129126715,4055671.3299999777,0.924245662570466
NY,395586.4500000028,0.09753907992342294,4055671.3299999777,0.9131684415351183
WY,3182.72,7.847578713929014E-4,4055671.3299999777,0.8838188331343201
PR,10.74,2.6481435812009104E-6,4055671.3299999777,0.5316831683168317
AK,4470.47,0.0011022762044181783,4055671.3299999777,0.42946182658675225
ND,1949.03,4.8056902086294324E-4,4055671.3299999777,0.39421888621226003
